"tank","mean(biomass_mgC_m2)"
"A1",314.78660039133
"A2",325.318920759507
"B1",337.567553194693
"B2",327.440394641873
"C1",288.778192856733
"C2",258.15037254328
"D1",397.311094106759
"D2",347.13414023558
"E1",412.0423673458
"E2",320.051259204973
"F1",383.8237360412
"F2",293.009918326473
